name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"East Stroudsburg, PA Metro Area",221100,80656,77614,65747,2707,0,1134,1036,6990,168128,65474,80157,5319,17178
"Eau Claire, WI Metro Area",222600,70009,89292,76354,565,568,2251,743,8811,171951,125945,40796,515,4695
"Edwards, CO Micro Area",728400,98887,31408,24483,1175,243,1212,334,3961,55650,17242,28218,1194,8996
"Effingham, IL Micro Area",166500,73181,17381,14895,70,14,432,165,1805,34594,29654,4078,72,790
"El Campo, TX Micro Area",170100,59712,17908,16570,20,36,386,260,636,41614,34184,3466,120,3844
"El Centro, CA Metro Area",256000,53847,59335,52392,417,149,1755,1126,3496,179578,107342,12780,4597,54859
"El Dorado, AR Micro Area",110900,49745,15967,14748,29,0,282,65,843,38815,27666,10013,69,1067
"Elizabeth City, NC Micro Area",203900,60668,23406,20833,19,4,571,387,1592,53507,28903,22142,1010,1452
"Elizabethtown-Fort Knox, KY Metro Area",184100,64111,70030,62911,212,149,1471,810,4477,155871,91638,55339,3934,4960
"Elk City, OK Micro Area",149800,51499,8281,7237,277,0,333,178,256,22295,13781,7318,108,1088
"Elkhart-Goshen, IN Metro Area",181800,63978,97136,88104,206,1295,1952,857,4722,206841,140342,45554,3293,17652
"Elkins, WV Micro Area",128700,51186,10436,9151,26,18,310,444,487,28005,21804,5910,158,133
"Elko, NV Micro Area",272200,87631,26485,21482,2515,34,845,357,1252,55222,21576,29358,617,3671
"Ellensburg, WA Micro Area",417600,66800,21580,17145,173,178,1257,340,2487,44424,29316,13157,450,1501
"Elmira, NY Metro Area",128200,61358,35625,31504,444,97,874,616,2090,83584,63705,16269,690,2920
"El Paso, TX Metro Area",153400,55344,378612,336408,3532,465,5343,7565,25299,867161,502789,140216,20413,203743
"Emporia, KS Micro Area",131600,56068,17383,15590,35,76,704,150,828,34752,23267,7887,161,3437
"Enid, OK Metro Area",142000,64165,28409,26319,72,119,366,276,1257,62456,37647,19533,884,4392
"Enterprise, AL Micro Area",162200,62199,22669,21455,10,77,123,308,696,53559,30544,19687,1218,2110
"Erie, PA Metro Area",160200,59396,122518,106091,1720,431,3849,1751,8676,270495,210661,44599,3381,11854
"Escanaba, MI Micro Area",139200,53852,14790,13306,94,89,384,160,757,36839,29563,6968,137,171
"EspaÃƒÂ±ola, NM Micro Area",212700,52031,15331,13413,105,0,380,222,1211,40285,31723,6188,153,2221
"Eufaula, AL-GA Micro Area",101100,39599,8866,8226,11,11,204,72,342,27057,18364,7770,111,812
"Eugene-Springfield, OR Metro Area",363800,65157,178879,137994,3710,5386,7545,2112,22132,382218,176714,179950,4513,21041
"Eureka-Arcata, CA Micro Area",386000,57881,58327,46838,714,476,3106,811,6382,136132,95721,30778,1215,8418
"Evanston, WY Micro Area",224800,78164,9468,8588,124,10,248,39,459,20546,7807,12148,140,451
"Evansville, IN-KY Metro Area",173500,64084,150365,135964,920,404,3352,1333,8392,313961,221621,81968,1364,9008
"Fairbanks, AK Metro Area",276800,81655,48184,41277,467,370,2404,734,2932,96299,32514,55505,3186,5094
"Fairfield, IA Micro Area",141500,52210,7486,5704,40,52,454,88,1148,15785,8881,4971,51,1882
"Fairmont, MN Micro Area",148100,61674,9657,8454,20,15,319,81,768,19960,15195,4138,169,458
"Fairmont, WV Micro Area",147600,59974,24828,21892,102,2,740,294,1798,56194,43813,11660,283,438
"Fallon, NV Micro Area",255200,69922,11611,10256,108,120,448,91,588,25409,8658,14695,344,1712
"Fargo, ND-MN Metro Area",261000,73641,141468,122923,1140,512,3825,2094,10974,251635,128579,102357,2302,18397
