name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Jennings, LA Micro Area",149800,52470,12900,12162,31,21,127,195,364,32277,28771,3212,64,230
"Jesup, GA Micro Area",142200,49847,10946,10216,103,16,23,185,403,30277,21953,7104,433,787
"Johnson City, TN Metro Area",183600,54217,92286,82610,249,35,1384,1262,6746,207442,128045,71322,1375,6700
"Johnstown, PA Metro Area",110900,54221,56653,49274,553,64,1549,812,4401,133263,117073,14305,513,1372
"Jonesboro, AR Metro Area",166600,52709,59315,55472,70,24,896,329,2524,134035,96201,32679,928,4227
"Joplin, MO Metro Area",151800,56930,82568,74331,154,125,1140,817,6001,181807,108860,64168,1621,7158
"Juneau, AK Micro Area",404600,95711,16370,12898,439,100,875,349,1709,32108,12580,16360,446,2722
"Kahului-Wailuku-Lahaina, HI Metro Area",800100,95379,79955,67555,1292,529,2203,1600,6776,164765,83827,49385,3184,28369
"Kalamazoo-Portage, MI Metro Area",209700,67905,129059,110339,1758,425,3650,836,12051,261426,192982,51345,2416,14683
"Kalispell, MT Micro Area",414200,68025,51262,41834,53,295,1402,639,7039,105950,49582,52388,947,3033
"Kankakee, IL Metro Area",176800,65489,49040,43272,470,104,1283,1027,2884,107421,85803,15748,392,5478
"Kansas City, MO-KS Metro Area",246000,78827,1107985,931357,8004,1353,11939,11725,143607,2190750,1182786,836631,20815,150518
"Kapaa, HI Micro Area",742900,88869,34033,29425,385,96,913,279,2935,73511,39384,21458,1494,11175
"Kearney, NE Micro Area",216000,70727,30657,28310,51,88,585,191,1432,56758,42656,11193,296,2613
"Keene, NH Micro Area",238800,76551,38344,32551,43,167,895,422,4266,76610,33164,40661,719,2066
"Kendallville, IN Micro Area",168100,70286,22483,20569,59,74,329,401,1051,47431,35992,8561,323,2555
"Kennett, MO Micro Area",93300,44868,10860,10087,14,70,182,58,449,28174,19034,8294,57,789
"Kennewick-Richland, WA Metro Area",330200,82146,134863,119347,958,203,1429,1090,11836,304252,158956,95826,4019,45451
"Kerrville, TX Micro Area",260700,66713,22844,19746,28,198,559,236,2077,52810,32933,15274,589,4014
"Ketchikan, AK Micro Area",361000,82763,7018,5792,234,7,500,191,294,13910,5966,6533,165,1246
"Key West, FL Micro Area",696900,80111,42929,32258,153,2333,1788,1989,4408,82044,25145,39309,1424,16166
"Kill Devil Hills, NC Micro Area",386600,79742,18731,15799,5,171,314,122,2320,37160,12671,21776,974,1739
"Killeen-Temple, TX Metro Area",190900,63394,211120,184823,619,192,6444,2700,16342,477577,226823,189612,24561,36581
"Kingsport-Bristol, TN-VA Metro Area",166500,53644,127819,114559,158,69,1814,1690,9529,308386,181375,121299,1487,4225
"Kingston, NY Metro Area",288400,77197,83839,65680,1918,345,2630,1354,11912,182153,133507,31988,2515,14143
"Kingsville, TX Micro Area",128100,52407,13132,11559,0,114,522,219,718,30976,25062,3719,277,1918
"Kinston, NC Micro Area",101600,43063,22131,21025,193,17,165,182,549,55071,42727,9801,344,2199
"Kirksville, MO Micro Area",142000,51618,11626,10288,32,4,448,169,685,29365,19446,8703,120,1096
"Klamath Falls, OR Micro Area",234200,57219,26823,23897,50,129,692,120,1935,69506,33607,32254,631,3014
"Knoxville, TN Metro Area",230700,66715,413355,360989,1784,371,5202,3120,41889,884359,528617,310100,7426,38216
"Kokomo, IN Metro Area",143100,62014,36245,33287,61,111,412,380,1994,83452,64109,17153,526,1664
"Laconia, NH Micro Area",295900,80719,32144,27770,76,65,768,244,3221,63914,32768,28456,619,2071
"La Crosse-Onalaska, WI-MN Metro Area",224700,69043,72577,61480,529,645,2792,639,6492,139042,91462,42888,961,3731
"Lafayette, LA Metro Area",187800,58150,211605,189806,768,466,3899,2555,14111,479865,408685,52929,2220,16031
"Lafayette-West Lafayette, IN Metro Area",184300,57188,106343,89039,2351,892,5278,591,8192,224515,138953,61129,1727,22706
"La Grande, OR Micro Area",243400,61946,11304,9556,19,104,624,184,817,26286,15047,10230,241,768
"LaGrange, GA-AL Micro Area",147600,52767,45176,41854,91,35,562,661,1973,104139,73294,27234,445,3166
"Lake Charles, LA Metro Area",195600,64764,93410,86138,144,192,1793,921,4222,216217,170510,37665,1416,6626
"Lake City, FL Micro Area",165300,53501,26940,24529,10,16,161,520,1704,69832,43407,22685,1093,2647
"Lake Havasu City-Kingman, AZ Metro Area",233700,53592,74493,66062,412,175,888,2102,4854,214229,40114,158527,1746,13842
"Lakeland-Winter Haven, FL Metro Area",215700,60901,315558,278300,930,1059,2724,4650,27895,736229,310484,288611,57225,79909
"Lamesa, TX Micro Area",95100,45268,4205,3888,0,0,65,81,171,12342,10500,1132,37,673
"Lancaster, PA Metro Area",263600,81458,274411,232301,2222,2059,9586,3352,24891,553202,409778,96700,16316,30408
"Lansing-East Lansing, MI Metro Area",183800,68270,260964,213871,4284,1652,7815,2442,30900,538985,415997,84770,3676,34542
"Laramie, WY Micro Area",291500,55887,20511,15714,257,796,1970,152,1622,37525,14043,20634,275,2573
"Laredo, TX Metro Area",161000,59984,110657,100065,1184,90,1752,2104,5462,267282,181102,14608,4608,66964
"Las Cruces, NM Metro Area",187400,51232,91502,80564,263,586,2057,1203,6829,219870,93898,89450,2287,34235
"Las Vegas, NM Micro Area",141000,42301,11932,9859,12,29,512,106,1414,31423,23121,7191,150,961
"Las Vegas-Henderson-Paradise, NV Metro Area",368800,69911,1040510,877557,26014,2280,12995,26395,95269,2265926,575483,1149744,46188,494511
"Laurel, MS Micro Area",118000,48389,34065,32399,155,0,443,361,707,83472,69243,12131,446,1652
"Laurinburg, NC Micro Area",99900,41948,12134,11250,40,13,171,111,549,34222,24613,8570,291,748
"Lawrence, KS Metro Area",259500,66153,65718,51825,1671,676,3219,642,7685,119094,62886,46732,1818,7658
"Lawrenceburg, TN Micro Area",156500,51038,18192,16763,20,0,202,204,1003,44377,32088,11570,244,475
"Lawton, OK Metro Area",143200,57196,56268,48084,360,98,788,892,6046,127314,57845,57717,5023,6729
"Lebanon, MO Micro Area",151800,49202,15409,14077,28,0,300,292,712,36060,24564,10640,283,573
"Lebanon, NH-VT Micro Area",246000,74152,109582,90050,661,276,4163,1250,13182,221463,92306,117682,2286,9189
"Lebanon, PA Metro Area",211400,72532,68005,59114,434,119,1847,701,5790,143258,108490,21857,6809,6102
"Levelland, TX Micro Area",110800,53283,9554,8933,26,8,179,67,341,21495,16608,2964,195,1728
"Lewisburg, PA Micro Area",210300,64914,16432,13525,44,268,1395,117,1083,42908,29996,11060,529,1323
"Lewisburg, TN Micro Area",218500,65325,15692,14022,15,0,60,92,1503,34567,23150,10228,175,1014
"Lewiston, ID-WA Metro Area",262000,64488,28881,25550,57,66,865,144,2199,64570,27115,35371,398,1686
"Lewiston-Auburn, ME Metro Area",211800,64500,54700,46240,188,81,1740,514,5937,111532,79723,25360,1061,5388
"Lewistown, PA Micro Area",131300,58012,21056,19336,43,24,319,214,1120,46146,41449,3996,341,360
"Lexington, NE Micro Area",141900,68128,13178,12386,57,29,217,214,275,25910,15743,4781,234,5152
"Lexington-Fayette, KY Metro Area",238300,68089,257889,221050,2567,960,7012,2120,24180,515954,325278,146624,4785,39267
"Liberal, KS Micro Area",126000,57131,10455,9716,5,3,210,164,357,21942,10859,4581,128,6374
"Lima, OH Metro Area",147000,58976,45300,41699,252,87,595,636,2031,102087,82819,16906,506,1856
"Lincoln, IL Micro Area",118200,62547,12076,10736,39,36,392,69,804,28027,23630,3929,112,356
"Lincoln, NE Metro Area",238300,70899,182400,156555,1425,1462,5641,1228,16089,339707,226356,83218,2875,27258
"Little Rock-North Little Rock-Conway, AR Metro Area",185700,62664,349028,312970,1444,356,3747,3928,26583,749290,499503,213129,5815,30843
"Lock Haven, PA Micro Area",165100,59011,17268,15090,61,19,652,196,1250,37860,32978,4104,208,570
"Logan, UT-ID Metro Area",343200,71739,72725,59335,1440,903,2668,606,7773,148804,91847,47119,1405,8433
"Logansport, IN Micro Area",110600,55862,17896,16984,72,46,193,69,532,37820,26778,6999,541,3502
"London, KY Micro Area",118800,45127,53594,48840,58,9,706,225,3756,149619,112887,35061,453,1218
"Longview, TX Metro Area",165100,62910,124450,115524,157,135,1567,870,6197,287359,199703,66856,2179,18621
"Longview, WA Metro Area",332200,70912,45906,41040,166,153,712,654,3181,110621,58151,46832,1064,4574
"Los Alamos, NM Micro Area",412700,135801,10197,8339,170,205,204,73,1206,19253,5842,11294,283,1834
"Los Angeles-Long Beach-Anaheim, CA Metro Area",772000,89105,6300998,4917955,239395,36993,143302,109645,853708,13111917,6909689,1774399,178723,4249106
"Louisville/Jefferson County, KY-IN Metro Area",222400,69771,628139,537519,8158,1217,8960,7468,64817,1282588,824366,363506,11616,83100
"Lubbock, TX Metro Area",180100,61535,156152,141062,980,479,3302,1397,8932,322285,239693,59606,3111,19875
"Ludington, MI Micro Area",181200,60744,12200,10981,15,8,190,66,940,29178,23401,5168,122,487
"Lufkin, TX Micro Area",138600,57055,36669,34024,34,57,445,480,1629,86608,65158,13069,826,7555
"Lumberton, NC Micro Area",87700,39393,43118,40597,192,18,413,503,1395,117573,95446,16179,810,5138
"Lynchburg, VA Metro Area",209000,64307,120391,104349,919,23,2947,1892,10261,262124,172172,79584,2257,8111
"Macomb, IL Micro Area",100400,48904,12596,10876,125,82,707,149,657,27370,20658,5682,198,832
"Macon-Bibb County, GA Metro Area",160100,54700,96751,87085,759,133,1567,1189,6018,233334,177373,48202,1866,5893
"Madera, CA Metro Area",340300,73543,57706,49584,129,68,877,2740,4308,157243,107345,16394,1546,31958
"Madison, IN Micro Area",168100,57801,14833,13615,0,10,297,188,723,33057,22662,9789,198,408
"Madison, WI Metro Area",320700,82996,376949,283052,10986,6355,18708,3755,54093,678995,429426,192667,7119,49783
"Madisonville, KY Micro Area",125800,54466,17727,16913,1,6,130,92,585,45223,35224,8967,244,788
"Magnolia, AR Micro Area",123200,47441,9137,8374,50,25,358,97,233,22707,15537,6806,18,346
"Malone, NY Micro Area",131600,60270,18873,16307,255,57,790,266,1198,47459,36696,7755,1160,1848
"Malvern, AR Micro Area",119600,50260,12758,11966,31,2,281,166,312,33129,24947,7747,63,372
"Manchester-Nashua, NH Metro Area",356200,95112,231932,191372,1548,418,4241,2200,32153,422733,168349,204396,7595,42393
"Manhattan, KS Metro Area",210300,61270,71241,57667,204,541,5978,753,6098,133834,63451,58195,4034,8154
"Manitowoc, WI Micro Area",160400,66412,40326,35701,206,163,1265,288,2703,81242,66038,12232,380,2592
"Mankato, MN Metro Area",239800,73472,55981,46927,673,182,1975,719,5505,103402,78199,19326,535,5342
"Mansfield, OH Metro Area",140500,56557,53293,49374,239,149,666,428,2437,125008,101744,20693,503,2068
"Marietta, OH Micro Area",164000,59053,26577,23721,204,99,735,94,1724,59639,37282,21213,196,948
"Marinette, WI-MI Micro Area",139100,58291,29296,26200,48,100,948,312,1688,65260,39608,24338,377,937
"Marion, IN Micro Area",109300,53033,28661,24194,79,110,1897,404,1977,66560,49530,15080,397,1553
"Marion, NC Micro Area",153300,53532,18297,17234,6,0,223,97,737,44629,32256,10147,412,1814
"Marion, OH Micro Area",135900,55106,26661,24612,159,0,295,318,1277,65366,53670,10327,382,987
"Marquette, MI Micro Area",184300,63115,30498,26323,117,306,1789,248,1715,66376,50769,13763,367,1477
"Marshall, MN Micro Area",177600,68919,12595,10639,23,35,501,221,1176,25352,18128,5228,234,1762
"Marshall, MO Micro Area",129600,55396,10279,9254,0,23,211,103,688,23219,17383,4553,115,1168
"Marshalltown, IA Micro Area",125900,70828,19134,17389,3,4,491,83,1164,40049,26523,7460,590,5476
"Martin, TN Micro Area",123100,47769,14011,12283,57,22,327,619,703,32946,21888,10162,240,656
"Martinsville, VA Micro Area",108900,42458,24772,22566,70,6,178,447,1505,64299,46578,14879,696,2146
"Maryville, MO Micro Area",157200,53917,9880,9071,2,22,194,47,544,21140,14367,6319,133,321
"Mason City, IA Micro Area",143400,63785,25581,22787,125,95,460,232,1882,50396,36688,12320,389,999
"MayagÃƒÂ¼ez, PR Metro Area",104900,17675,25933,24189,197,79,605,91,772,97118,0,4491,90845,1782
"Mayfield, KY Micro Area",134900,52526,15060,13660,5,0,186,200,1009,36701,25704,10010,133,854
"Maysville, KY Micro Area",156600,48460,7236,6660,6,0,120,55,395,17068,12721,3989,94,264
"McAlester, OK Micro Area",135800,53054,16848,15252,29,23,350,109,1085,43758,29443,13371,257,687
"McAllen-Edinburg-Mission, TX Metro Area",112700,49371,332795,288808,817,328,3836,12631,26375,873167,562114,71639,11091,228323
"McComb, MS Micro Area",115900,40131,14632,13625,55,4,117,418,413,40098,30311,9328,168,291
"McMinnville, TN Micro Area",149700,52948,17419,16222,10,0,142,49,996,41163,30146,8555,370,2092
"McPherson, KS Micro Area",180900,71250,15427,13654,0,111,642,125,895,30085,20926,7702,538,919
"Meadville, PA Micro Area",136000,58734,35404,30391,227,100,2057,321,2308,83876,68363,13962,483,1068
"Medford, OR Metro Area",369500,67690,97138,80563,842,930,2596,1210,10997,222604,92500,115625,1787,12692
"Memphis, TN-MS-AR Metro Area",207500,62178,610548,551199,2834,635,6256,6536,43088,1335804,782139,469246,10038,74381
"Menomonie, WI Micro Area",212000,69721,23558,19691,50,92,1533,210,1982,45221,31336,12423,172,1290
"Merced, CA Metro Area",342300,64772,106381,92717,526,396,2481,4496,5765,282290,183240,22083,2806,74161
"Meridian, MS Micro Area",110200,45386,38819,35629,22,23,583,1210,1352,97274,77351,18263,393,1267
"Mexico, MO Micro Area",112300,51745,10706,9944,4,4,133,165,456,24873,20167,4010,126,570
"Miami, OK Micro Area",107500,46186,12105,11315,13,5,257,83,432,30472,16267,13225,158,822
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",369500,69085,2966935,2442231,73914,14332,45177,64692,326589,6123949,2024640,1371011,187496,2540802
"Michigan City-La Porte, IN Metro Area",166200,66854,48913,44803,501,46,821,289,2453,112215,80306,27787,611,3511
"Middlesborough, KY Micro Area",76700,33658,6848,6244,3,9,296,5,291,24248,18820,5368,10,50
"Midland, MI Metro Area",171600,73643,37379,32915,155,100,468,260,3481,83503,66319,14175,514,2495
"Midland, TX Metro Area",270900,89345,87248,80293,92,236,907,1025,4695,174621,114236,35139,1630,23616
"Milledgeville, GA Micro Area",144800,51988,18819,17202,36,41,99,533,908,52366,40513,10199,413,1241
"Milwaukee-Waukesha, WI Metro Area",267200,72937,783232,648289,17938,2593,17237,6513,90662,1568940,1121631,305347,23986,117976
"Minden, LA Micro Area",100100,34263,12853,11525,57,32,140,192,907,36761,29626,6623,146,366
"Mineral Wells, TX Micro Area",151500,65242,11985,10696,27,0,119,249,894,28569,21373,5385,361,1450
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",334200,94673,1953875,1506248,60694,11239,40486,20187,315021,3678328,2335440,915775,34994,392119
"Minot, ND Micro Area",238100,78112,40789,37449,61,132,730,367,2050,77140,45599,26982,1582,2977
"Missoula, MT Metro Area",382400,66840,64821,51807,1014,2309,2554,467,6670,118541,57087,56284,1241,3929
"Mitchell, SD Micro Area",177100,57432,12113,10599,48,19,352,160,935,23409,17715,5210,90,394
"Moberly, MO Micro Area",131200,51480,10602,9751,53,6,35,192,565,24652,19934,4426,59,233
"Mobile, AL Metro Area",163600,55247,179425,163865,591,142,1666,1830,11331,429312,316839,96102,3064,13307
"Modesto, CA Metro Area",393300,74872,229451,206525,1764,789,2978,2359,15036,552063,379254,55697,5566,111546
"Monroe, LA Metro Area",158100,47351,84492,76893,738,121,1514,634,4592,206072,163897,37265,1169,3741
"Monroe, MI Metro Area",202200,72573,69702,63191,144,78,821,673,4795,154823,96019,54407,885,3512
"Montgomery, AL Metro Area",170300,60849,167566,153281,542,171,2147,1163,10262,384740,274560,91041,4653,14486
"Montrose, CO Micro Area",338000,65033,20464,17055,28,101,674,253,2353,47759,21418,22609,468,3264
"Morehead City, NC Micro Area",277400,66965,30080,26442,115,115,414,427,2567,68353,36860,28398,1048,2047
"Morgan City, LA Micro Area",128000,47322,19136,17960,1,59,288,140,688,49114,41403,5393,114,2204
"Morgantown, WV Metro Area",215300,60670,66772,55517,780,63,2925,711,6776,140194,81990,51367,1150,5687
"Morristown, TN Metro Area",170100,52913,60706,56391,130,74,498,441,3172,143196,88752,47297,1314,5833
"Moscow, ID Micro Area",309300,62258,18879,13946,53,194,2653,240,1793,39872,15294,22262,562,1754
"Moses Lake, WA Micro Area",244500,66387,42635,37036,536,117,932,555,3459,99145,58149,23865,808,16323
"Moultrie, GA Micro Area",113900,47235,19065,17402,306,0,269,278,810,45813,32991,7237,534,5051
"Mountain Home, AR Micro Area",155600,47403,15129,13762,3,6,302,200,856,41801,16098,24575,220,908
"Mountain Home, ID Micro Area",235200,55000,13077,12164,13,7,348,124,421,28752,8674,16626,882,2570
"Mount Airy, NC Micro Area",153700,52743,31099,29386,18,43,273,109,1270,71429,50177,16271,700,4281
"Mount Gay-Shamrock, WV Micro Area",101200,42194,9181,8531,66,0,150,54,380,32350,27633,4448,96,173
"Mount Pleasant, MI Micro Area",159500,52638,30645,26333,162,193,2102,236,1619,64938,53136,9520,440,1842
"Mount Pleasant, TX Micro Area",141600,56096,18362,17103,12,0,272,320,655,43844,29191,6957,511,7185
"Mount Sterling, KY Micro Area",123900,51889,18077,16714,0,0,222,118,1023,47101,37038,9480,178,405
"Mount Vernon, IL Micro Area",115000,58384,15993,14810,13,4,202,205,759,37043,29289,6902,237,615
"Mount Vernon, OH Micro Area",197400,71246,28192,23918,123,57,808,430,2856,62657,49803,11793,277,784
"Mount Vernon-Anacortes, WA Metro Area",444300,82029,57119,49108,383,177,1002,419,6030,129480,70752,44476,2058,12194
"Muncie, IN Metro Area",120500,53377,51601,45213,536,261,2120,517,2954,112156,86257,23332,557,2010
"Murray, KY Micro Area",169100,48276,17096,14800,15,64,1330,162,725,37345,21466,14218,372,1289
"Muscatine, IA Micro Area",159000,67427,20877,19220,107,25,479,105,941,42968,29479,10114,387,2988
"Muskegon, MI Metro Area",162300,61347,75385,69950,121,95,787,528,3904,175947,150536,21124,910,3377
"Muskogee, OK Micro Area",128900,50289,25734,23201,160,86,264,388,1635,66606,46787,17428,541,1850
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",247600,63296,207482,180836,1113,355,1942,4012,19224,496299,181758,282028,5051,27462
"Nacogdoches, TX Micro Area",150700,51153,27800,24086,94,71,1182,639,1728,64768,49151,10049,512,5056
"Napa, CA Metro Area",794500,105809,66906,54984,944,733,1943,969,7333,137384,79657,25174,2054,30499
"Naples-Marco Island, FL Metro Area",443700,82011,158573,134630,854,547,1184,2734,18624,380221,86640,190310,8731,94540
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",344700,79020,1031961,852885,7543,1560,12214,12239,145520,1990873,1017970,778497,22870,171536
"Natchez, MS-LA Micro Area",98200,37726,15252,14429,0,0,227,266,330,48102,31680,14254,225,1943
"Natchitoches, LA Micro Area",155700,41310,14014,13083,24,72,292,171,372,37478,30201,6573,223,481
"New Bern, NC Metro Area",187400,60258,53149,47784,84,102,770,1006,3403,122678,63518,52592,1872,4696
"Newberry, SC Micro Area",139200,56706,16467,15368,0,64,289,179,567,37918,28006,7285,712,1915
"New Castle, IN Micro Area",124900,57632,20169,18359,51,18,310,142,1289,48913,39351,8853,286,423
"New Castle, PA Micro Area",130000,57585,38089,33009,215,42,853,250,3720,85907,71298,12798,603,1208
"New Haven-Milford, CT Metro Area",291900,81544,424644,345170,11897,1650,15427,5342,45158,866377,516774,193301,38724,117578
"New Orleans-Metairie, LA Metro Area",242600,62748,576650,487333,11330,4784,14506,8875,49822,1264357,909719,244599,12988,97051
"New Philadelphia-Dover, OH Micro Area",163700,61953,42276,38052,10,556,604,490,2564,92840,80616,9894,707,1623
"Newport, OR Micro Area",345300,57794,19621,16312,106,78,635,181,2309,50334,20550,26796,367,2621
"Newport, TN Micro Area",137000,45110,14604,13562,1,0,152,203,686,36186,24671,10782,287,446
"New Ulm, MN Micro Area",165200,67038,13314,11705,59,36,431,53,1030,25880,20917,4255,40,668
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",553500,93610,9537695,5018246,2491807,70839,519586,199530,1237687,19908596,10623969,2838704,564688,5881234
"Niles, MI Metro Area",193600,60379,69571,60577,297,206,1914,606,5971,153938,91346,53428,1386,7778
"Nogales, AZ Micro Area",196700,51885,18616,16675,198,110,204,348,1081,47838,23011,8088,777,15962
"Norfolk, NE Micro Area",181900,63350,24728,22173,71,117,616,242,1509,48667,34905,10978,165,2619
"North Platte, NE Micro Area",167000,63119,17073,15697,46,118,360,201,651,35827,26152,8638,160,877
"North Port-Sarasota-Bradenton, FL Metro Area",332300,74469,351471,292109,1485,1946,3702,4776,47453,844461,228579,495030,15977,104875
"North Vernon, IN Micro Area",133200,66892,12758,12136,0,20,111,16,475,27610,22059,5077,149,325
"North Wilkesboro, NC Micro Area",146200,49119,28177,25585,31,0,266,155,2140,66125,52042,11607,325,2151
"Norwalk, OH Micro Area",151600,64144,26975,24833,86,89,601,269,1097,58518,49073,8135,448,862
"Norwich-New London, CT Metro Area",290400,84755,132973,111917,1677,263,3351,1672,14093,268448,144029,96214,6176,22029
"Oak Harbor, WA Micro Area",480800,82850,38999,31894,789,177,1102,380,4657,86510,32086,46388,1529,6507
"Ocala, FL Metro Area",194900,55265,139755,124054,202,416,708,1769,12606,378225,146401,185098,15744,30982
"Ocean City, NJ Metro Area",372300,83870,42154,35774,320,573,1578,787,3122,95456,48468,40536,1918,4534
"Odessa, TX Metro Area",175600,70566,73281,68743,180,107,871,898,2482,162300,106572,27801,2026,25901
"Ogden-Clearfield, UT Metro Area",384700,91022,342068,284472,4173,966,4322,3120,45015,696650,464426,185966,8642,37616
"Ogdensburg-Massena, NY Micro Area",114700,58339,43767,37709,87,82,2439,706,2744,108670,88127,15338,1247,3958
"Oil City, PA Micro Area",108500,59278,21359,18905,105,0,585,144,1620,50475,43756,6056,270,393
"Okeechobee, FL Micro Area",158500,50476,15091,13252,170,107,328,279,955,39870,20105,13773,1064,4928
"Oklahoma City, OK Metro Area",196800,67963,688627,606857,2492,1608,11463,8602,57605,1428923,852737,441255,19217,115714
"Olean, NY Micro Area",105100,56889,32488,28038,146,91,1542,466,2205,77000,63427,12001,366,1206
"Olympia-Lacey-Tumwater, WA Metro Area",411700,88895,137214,110282,1999,499,2831,1681,19922,294272,135011,125817,8782,24662
"Omaha-Council Bluffs, NE-IA Metro Area",229500,79634,499645,427687,3401,679,7822,5053,55003,966688,569706,311492,10989,74501
"Oneonta, NY Micro Area",166500,65778,26908,22200,172,43,2002,211,2280,59678,46168,10771,450,2289
"Ontario, OR-ID Micro Area",231600,55155,22021,19509,18,48,797,321,1328,57109,22475,29826,313,4495
"Opelousas, LA Micro Area",148400,44478,29973,27179,65,74,558,403,1694,82574,76078,4932,291,1273
"Orangeburg, SC Micro Area",105500,41020,31563,29026,44,52,379,291,1771,84159,67927,14608,480,1144
"Orlando-Kissimmee-Sanford, FL Metro Area",308100,71551,1309178,1082802,14499,4254,14792,23200,169631,2679298,896243,1006087,248164,528804
"Oshkosh-Neenah, WI Metro Area",190600,70041,88979,77493,512,633,1841,469,8031,171197,132856,31275,1298,5768
"Oskaloosa, IA Micro Area",135100,65200,11000,9759,4,10,535,47,645,22059,17424,4097,168,370
"Othello, WA Micro Area",216900,63105,8050,7193,6,7,259,159,426,20557,11190,4594,69,4704
"Ottawa, IL Micro Area",142100,67181,69595,64384,107,156,1141,807,3000,148326,123862,18934,632,4898
"Ottawa, KS Micro Area",175500,68217,12700,11148,7,0,192,277,1076,25968,17867,7098,377,626
"Ottumwa, IA Micro Area",105800,56209,16045,14743,111,0,344,170,677,35292,26187,6006,109,2990
"Owatonna, MN Micro Area",217100,79722,18758,16561,160,21,535,195,1286,37396,28114,7301,273,1708
"Owensboro, KY Metro Area",164600,64366,54245,50643,122,78,632,344,2426,121147,91712,25523,499,3413
"Oxford, MS Micro Area",242800,59748,24693,22148,265,86,741,99,1354,56172,32975,20853,375,1969
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",719100,102141,402639,338002,3366,1451,6329,3525,49966,842009,511005,139975,10524,180505
"Ozark, AL Micro Area",123800,52813,19769,18292,36,0,492,257,692,49455,26558,19675,1558,1664
"Paducah, KY-IL Micro Area",152900,57960,42200,38425,240,73,677,634,2151,98430,61360,34895,851,1324
"Pahrump, NV Micro Area",235500,53602,16552,14323,94,0,347,467,1321,51698,10716,36220,760,4002
"Palatka, FL Micro Area",125700,44852,25550,22775,72,179,326,183,2015,73604,43267,25846,1038,3453
"Palestine, TX Micro Area",154600,57445,19753,18666,51,0,127,268,641,58077,44567,9530,586,3394
"Palm Bay-Melbourne-Titusville, FL Metro Area",278000,71308,269483,228392,1846,1196,2879,4000,31170,610723,196806,336274,21583,56060
"Pampa, TX Micro Area",95000,54852,9227,8559,0,0,111,215,342,22036,15067,4600,152,2217
"Panama City, FL Metro Area",246800,65999,85923,76648,477,301,944,917,6636,181055,74370,88264,5211,13210
"Paragould, AR Micro Area",157400,54879,19536,18171,31,0,536,203,595,45954,29454,15906,192,402
"Paris, TN Micro Area",141000,48025,12545,11338,73,14,45,606,469,32305,17840,13740,260,465
"Paris, TX Micro Area",152800,58246,22572,20062,17,16,746,412,1319,50149,37220,9880,805,2244
"Parkersburg-Vienna, WV Metro Area",138200,54175,37469,33542,241,57,706,257,2666,89474,66434,21601,491,948
"Parsons, KS Micro Area",94600,56143,9028,8278,8,13,189,25,515,20096,13786,6053,97,160
"Payson, AZ Micro Area",222500,55242,18434,16176,7,37,391,195,1628,53419,27930,23591,220,1678
"Pearsall, TX Micro Area",98000,56042,6830,6214,0,0,221,126,269,18151,14352,1286,117,2396
"Pecos, TX Micro Area",108900,57329,6294,6133,0,0,5,69,87,14118,9960,1446,284,2428
"Pella, IA Micro Area",192300,74193,16435,14202,52,60,717,187,1217,33487,25092,7555,217,623
"Pensacola-Ferry Pass-Brent, FL Metro Area",232800,69374,229881,189733,1253,1104,6578,3913,27300,510290,213972,259372,10491,26455
"Peoria, IL Metro Area",151300,67718,181545,160523,1207,393,3378,1233,14811,401702,319983,64366,2579,14774
"Peru, IN Micro Area",112800,59551,15136,14009,44,76,229,127,651,35952,28167,7072,321,392
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",304900,85555,3052356,2237122,220148,17346,95751,42417,439572,6232894,3817492,1566580,140826,707996
"Phoenix-Mesa-Chandler, AZ Metro Area",360600,79935,2313702,1829329,29725,12149,31563,42031,368905,4864209,1880152,2233223,68100,682734
"Picayune, MS Micro Area",167700,54220,22433,19986,0,0,325,612,1510,56351,24796,30594,70,891
"Pierre, SD Micro Area",212000,83641,10890,9810,65,16,284,25,690,20791,14177,6356,86,172
"Pine Bluff, AR Metro Area",106900,47559,31362,28832,157,0,305,249,1819,87498,71219,14535,231,1513
"Pinehurst-Southern Pines, NC Micro Area",284000,77981,44256,37209,45,30,461,1743,4768,100759,49563,44598,1629,4969
"Pittsburg, KS Micro Area",114100,49779,19152,17649,0,114,462,162,765,39012,24678,12849,445,1040
"Pittsburgh, PA Metro Area",192400,71283,1153032,902968,47827,2544,35208,11828,152657,2365501,1889479,363177,15155,97690
"Pittsfield, MA Metro Area",266400,69744,62128,50943,672,163,3351,456,6543,128763,82711,36770,1713,7569
"Plainview, TX Micro Area",97500,50721,13458,12846,20,2,201,77,312,32525,24943,3810,280,3492
"Platteville, WI Micro Area",173400,63497,25660,20875,84,87,1728,466,2420,51842,35309,15541,199,793
